Luiz,Ejlli,luani@email,kiara123
Edrin,Dudushi,edrin@email,edrin123
K,ALBO,k@albo,tecentralla
John,Doe,john@example.com,password
John,Doe,manager@example.com,password
John,Doe,john@example.com,password
John,Doe,manager@example.com,password
John,Doe,john@example.com,password
John,Doe,manager@example.com,password
John,Doe,john@example.com,password
John,Doe,manager@example.com,password
John,Doe,john@example.com,password
John,Doe,manager@example.com,password
John,Doe,john@example.com,password
John,Doe,manager@example.com,password
John,Doe,john@example.com,password
John,Doe,manager@example.com,password
John,Doe,john@example.com,password
John,Doe,john@example.com,password
John,Doe,john@example.com,password
John,Doe,john@example.com,password
John,Doe,john@example.com,password
John,Doe,john@example.com,password
